"linkage","cophenetic_corr","agglom_coef","num_inversions","best_silhouette_K","best_silhouette_val"
"ward.D2",0.647238898896708,0.970200915932505,0,7,0.395979044022736
"average",0.70479089109748,0.884832584562214,0,9,0.397444881471078
"complete",0.712428226233521,0.931417406312773,0,9,0.367925477682944
"single",0.652864446448828,0.78062675059176,0,2,0.230519759170957
