"","ward.D2","average","complete","single"
"K=1",NA,NA,NA,NA
"K=2",0.2959,0.2768,0.3631,0.2305
"K=3",0.3312,0.3368,0.3507,0.1501
"K=4",0.3679,0.3688,0.2962,0.2074
"K=5",0.3907,0.3564,0.3319,0.179
"K=6",0.3908,0.3187,0.3358,0.1845
"K=7",0.396,0.3506,0.3516,0.1615
"K=8",0.3827,0.3827,0.3526,0.0819
"K=9",0.3734,0.3974,0.3679,0.0615
"K=10",0.3859,0.3915,0.3564,0.0643
