"input","linkage","cophenetic_corr","agglom_coef","num_inversions","best_silhouette_K","best_silhouette_val"
"eta_PM","ward.D2",0.612529533296364,0.962658880623532,0,2,0.386889235675014
"eta_PM","average",0.690862642330585,0.848104167654848,0,2,0.385096895493948
"eta_PM","complete",0.687731145580589,0.913471684829631,0,2,0.420511648540416
"eta_PM","single",0.586325781656154,0.669237987277087,0,2,0.257038412576899
"D_bar","ward.D2",0.537020879675915,0.810089899939434,0,4,0.148326867123427
"D_bar","average",0.766849654727307,0.504086527448475,0,2,0.228429515455824
"D_bar","complete",0.695953323074576,0.628726842399299,0,2,0.225574162414525
"D_bar","single",0.580687202414992,0.404450173019969,0,3,0.0816238722588111
