"item","cluster","F1","F2","F3"
"B4Q3A",4,-1.47808600765727,-1.98442578714254,-1.08052874619348
"B4Q3B",4,0.81176428122794,-2.68890572009767,-0.990455077382239
"B4Q3C",1,1.31379737567439,2.93775361293754,-0.933833256389151
"B4Q3D",1,0.864162960530128,2.63270838849834,-1.26418207895755
"B4Q3E",4,-3.09000963700267,-1.79601652517894,0.346860712219088
"B4Q3F",1,2.25702027339413,2.7352695513356,-0.615398704747487
"B4Q3G",4,-0.348754423128539,-0.706903408831257,-1.74791818182851
"B4Q3H",1,1.92774406754521,3.40787687323877,0.317602496979299
"B4Q3I",1,0.403635849549924,2.01595426730569,-1.64319866644494
"B4Q3J",1,2.18344049836863,0.945651021005172,-1.5065656611904
"B4Q3K",4,-2.40035254699432,-2.82374811502481,2.05143707765977
"B4Q3L",1,2.38745469766851,3.19219572674903,0.483792403865555
"B4Q3M",2,-2.35761107679537,-0.559456696681126,4.48184511680223
"B4Q3N",1,1.87981028226663,2.31985019592334,-1.12840574557031
"B4Q3O",1,-1.99385028245602,1.69484450087944,-0.941255190814127
"B4Q3P",1,2.01503672063725,3.38081870273826,0.701040839427251
"B4Q3Q",2,-3.4333541550701,0.702719665772125,0.625992488865967
"B4Q3R",1,1.40511284414863,3.11397316743965,-0.743813741496164
"B4Q3S",1,-0.39719082326139,3.5440760317381,0.166506942433051
"B4Q3T",1,0.113021302156249,2.95631021753774,-1.10870607451128
"B4BSCL14",2,-1.98012698098092,2.92349451488483,0.676815922306753
"B4BNE12",4,-2.80152215527302,-1.93272075467612,-0.127568717758331
"B4BIL6",4,0.228744030814638,-2.64487724909029,-0.996129200816655
"B4BFGN",3,1.74652689386403,-3.68367475940444,-0.113210021214999
"B4BCRP",4,-2.29262420999727,-1.26102335871089,-1.05745343407841
"wl_immediate_omit",2,-2.7495056288712,1.93318895064465,0.267839568752245
"wl_immediate_repetition",2,-0.418648515288861,1.94640570435292,4.01118520118209
"wl_immediate_intrusion",4,-3.56507666383163,-0.84367299976745,1.21595699015046
"wl_delayed_omit",2,-2.5378625512838,2.2499750776389,0.31385553950266
"wl_delayed_repetition",2,-2.07534959733892,-0.491202357643162,4.69352584886258
"wl_delayed_intrusion",2,-2.13440805818972,2.83535869462352,1.73199064257014
"catflu_repetition",2,-2.26624428832254,2.00759452735502,3.25297444582334
"catflu_intrusion",3,3.94247500056353,1.68254292896318,2.51230020298411
"numseries_incorrect",4,-2.34583424977008,0.660695870543941,-1.06998230782311
"backcount_error",1,-0.472251859465875,1.13165300960957,-1.84762695929201
"sgst_normal_incorrect",4,-1.11672065877355,-1.52920784272809,-1.38907206081481
"sgst_reverse_incorrect",4,0.290774198202695,-2.61402416011951,-1.02105792527331
"sgst_mixed_nonswitch_incorrect",3,5.15225701580882,-4.56915813158859,1.53254741543262
"sgst_mixed_switch_incorrect",3,4.21483027515271,-4.12841743511644,0.731547265553218
"sgst_mixed_all_incorrect",3,4.99052749826227,-4.49025935838545,1.39146567434069
"B4Q1D",1,1.13961634774571,2.37847601278265,-1.34976283019135
"B4Q1H",4,-2.59971469319449,-2.6914304529947,1.60313558184876
"B4Q1K",3,5.00592679181071,0.258012596454453,0.696353013739256
"B4Q1N",3,4.69920442691248,0.97719119071136,0.66428547703154
"B4Q1P",2,-1.03856621737421,3.08310063722887,2.33340159694697
"B4Q1T",4,-1.94547105160827,0.141561093386066,-1.44181162515275
"B4Q1Z",3,4.99643850482595,0.445990792509397,0.788438902237267
"B4Q1FF",3,4.22991974369859,0.92310814464076,-0.0388557568091256
"B4Q1II",4,-1.99798675386427,0.320098671547436,-1.39378363085829
"B4Q1CCC",3,4.14071564106219,1.14093229148236,-0.0384810895775816
"B4Q1GGG",4,0.316055193083918,-1.44236252207412,-1.56613306442565
"B4Q1B",1,-0.785850098624501,1.46142496120365,-1.71445246022447
"B4Q1F",3,3.73595423940183,-1.78156309797372,-0.496115174725348
"B4Q1M",4,-2.41042135642523,-1.04266839672978,-1.04537398993784
"B4Q1Q",4,-2.29749655992503,0.880979851092267,-1.0394512810845
"B4Q1S",4,-1.84172086101687,-3.23634852859217,0.922977143395142
"B4Q1X",4,-2.60921684891206,-1.20267138011119,-0.847735886977505
"B4Q1BB",3,3.71179764236252,-2.14561119583808,-0.412482771191789
"B4Q1DD",4,-2.76548743213884,-1.05565754816301,-0.748739530510576
"B4Q1KK",4,-2.16157849155374,-0.60028732079143,-1.2816476969326
"B4Q1NN",4,-1.68556146874908,-1.66695212189063,-1.17301125030668
"B4Q1PP",4,0.26079616927747,-3.98439469539974,0.75472034047528
"B4Q1RR",3,1.85174543642149,-2.74120089323102,-0.858133451300782
"B4Q1TT",4,-1.41620444942657,-2.76007785386994,-0.49853791812142
"B4Q1VV",1,-0.510200202755673,3.55541968800347,0.613348893897986
"B4Q1ZZ",1,-0.110544587867989,1.68023200859932,-1.77165719715092
"B4Q1BBB",4,-1.61020669150878,-2.68759573267616,-0.476444568309057
"B4Q1JJJ",4,-2.17469406774046,-2.41092274083493,-0.364770818899825
