"item","cluster","uncertainty","z.1","z.2","z.3","z.4","z.5","z.6","z.7","z.8","F1","F2","F3"
"wl_immediate_repetition",5,0,0,0,0,0,1,0,0,0,-0.4186,1.9464,4.0112
"wl_immediate_intrusion",3,1e-04,0,0,1,0,0,0,0,0,-3.5651,-0.8437,1.216
"wl_delayed_omit",7,0.001,0,0,0,0,0,0.001,0.999,0,-2.5379,2.25,0.3139
"wl_delayed_repetition",5,0,0,0,0,0,1,0,0,0,-2.0753,-0.4912,4.6935
"wl_delayed_intrusion",5,0.0023,0,0,0,0,0.998,0,0.002,0,-2.1344,2.8354,1.732
"catflu_repetition",5,0,0,0,0,0,1,0,0,0,-2.2662,2.0076,3.253
"catflu_intrusion",4,0,0,0,0,1,0,0,0,0,3.9425,1.6825,2.5123
"numseries_incorrect",6,0,0,0,0,0,0,1,0,0,-2.3458,0.6607,-1.07
"backcount_error",2,0,0,1,0,0,0,0,0,0,-0.4723,1.1317,-1.8476
"sgst_normal_incorrect",1,0,1,0,0,0,0,0,0,0,-1.1167,-1.5292,-1.3891
"sgst_reverse_incorrect",1,0,1,0,0,0,0,0,0,0,0.2908,-2.614,-1.0211
"sgst_mixed_nonswitch_incorrect",8,0,0,0,0,0,0,0,0,1,5.1523,-4.5692,1.5325
"sgst_mixed_switch_incorrect",8,0,0,0,0,0,0,0,0,1,4.2148,-4.1284,0.7315
"sgst_mixed_all_incorrect",8,0,0,0,0,0,0,0,0,1,4.9905,-4.4903,1.3915
"B4Q1D",2,0,0,1,0,0,0,0,0,0,1.1396,2.3785,-1.3498
"B4Q1H",3,0,0,0,1,0,0,0,0,0,-2.5997,-2.6914,1.6031
"B4Q1K",4,0,0,0,0,1,0,0,0,0,5.0059,0.258,0.6964
"B4Q1N",4,0,0,0,0,1,0,0,0,0,4.6992,0.9772,0.6643
"B4Q1P",5,0,0,0,0,0,1,0,0,0,-1.0386,3.0831,2.3334
"B4Q1T",6,0,0,0,0,0,0,1,0,0,-1.9455,0.1416,-1.4418
"B4Q1Z",4,0,0,0,0,1,0,0,0,0,4.9964,0.446,0.7884
"B4Q1FF",4,0,0,0,0,1,0,0,0,0,4.2299,0.9231,-0.0389
"B4Q1II",6,0,0,0,0,0,0,1,0,0,-1.998,0.3201,-1.3938
"B4Q1CCC",4,0,0,0,0,1,0,0,0,0,4.1407,1.1409,-0.0385
"B4Q1GGG",1,0,1,0,0,0,0,0,0,0,0.3161,-1.4424,-1.5661
"B4Q1B",2,3e-04,0,1,0,0,0,0,0,0,-0.7859,1.4614,-1.7145
"B4Q1F",8,0,0,0,0,0,0,0,0,1,3.736,-1.7816,-0.4961
"B4Q1M",6,0.0015,0.001,0,0,0,0,0.999,0,0,-2.4104,-1.0427,-1.0454
"B4Q1Q",6,1e-04,0,0,0,0,0,1,0,0,-2.2975,0.881,-1.0395
