"","ward.D2","average","complete","single"
"K=1",NA,NA,NA,NA
"K=2",0.3869,0.3851,0.4205,0.257
"K=3",0.3645,0.3569,0.2913,0.1188
"K=4",0.2867,0.2779,0.2765,0.0952
"K=5",0.3225,0.3324,0.3366,0.0615
"K=6",0.2905,0.3098,0.3129,0.1044
"K=7",0.3071,0.3118,0.3105,0.0906
"K=8",0.3123,0.3354,0.3092,0.0626
