"item","layer","cluster","neighbor","sil_width"
"B4Q3H","Bin",1,2,0.62265139269877
"B4Q3F","Bin",1,2,0.614804733562201
"B4Q3R","Bin",1,2,0.614081569893079
"B4Q3P","Bin",1,2,0.613546693857979
"B4Q3L","Bin",1,2,0.610465502956107
"B4Q3N","Bin",1,2,0.596323395753294
"B4Q3C","Bin",1,2,0.561314739282252
"B4Q3T","Bin",1,2,0.496257367914347
"B4Q3D","Bin",1,2,0.489670916341092
"B4Q3S","Bin",1,2,0.484445205773206
"B4Q1CCC","Ord1",1,2,0.475642654728622
"B4Q1D","Ord1",1,2,0.472807887857871
"B4Q1FF","Ord1",1,2,0.462116468705453
"B4Q3J","Bin",1,2,0.455930265778364
"B4Q3I","Bin",1,2,0.446896419798607
"B4Q1VV","Ord1",1,2,0.40631043632241
"B4Q1Z","Ord1",1,2,0.402226929512946
"B4Q1N","Ord1",1,2,0.381042349440792
"B4Q1K","Ord1",1,2,0.352757310627341
"catflu_intrusion","Cnt",1,2,0.345658346144695
"B4Q1P","Ord1",1,2,0.307767988783614
"B4BSCL14","Con",1,2,0.291511581909488
"B4Q1ZZ","Ord1",1,2,0.268154501710487
"wl_immediate_repetition","Cnt",1,2,0.254463658162459
"wl_delayed_intrusion","Cnt",1,2,0.227942548060129
"B4Q3O","Bin",1,2,0.206054924462871
"backcount_error","Cnt",1,2,0.135262889308112
"catflu_repetition","Cnt",1,2,0.11255001030708
"B4Q1B","Ord1",1,2,0.0666001481943854
"B4Q1F","Ord1",1,2,0.0377768641518406
"B4Q1NN","Ord1",2,1,0.538435265829758
"B4BCRP","Con",2,1,0.529403297062872
"B4BNE12","Con",2,1,0.520313848737
"B4Q1BBB","Ord1",2,1,0.504781019240284
"B4Q1X","Ord1",2,1,0.504352794399912
"B4Q1M","Ord1",2,1,0.490889096315209
"B4Q1PP","Ord1",2,1,0.484485748660707
"B4Q1DD","Ord1",2,1,0.478063909702793
"B4Q1JJJ","Ord1",2,1,0.473913508851674
"B4Q1TT","Ord1",2,1,0.457546295621177
"sgst_reverse_incorrect","Cnt",2,1,0.452936537922979
"B4Q1KK","Ord1",2,1,0.446836200919459
"B4BIL6","Con",2,1,0.44608214639198
"B4Q1RR","Ord1",2,1,0.436047330111431
"B4Q3E","Bin",2,1,0.43161945580708
"B4Q3B","Bin",2,1,0.430394115833618
"B4Q1S","Ord1",2,1,0.407861487158516
"sgst_normal_incorrect","Cnt",2,1,0.397146772591064
"B4Q3A","Bin",2,1,0.395973410865638
"B4Q1H","Ord1",2,1,0.374509088026871
"wl_immediate_intrusion","Cnt",2,1,0.36752365463198
"B4Q1GGG","Ord1",2,1,0.351640394824719
"B4Q3K","Bin",2,1,0.340910179607385
"B4Q1T","Ord1",2,1,0.336251683332348
"B4BFGN","Con",2,1,0.332663036362011
"B4Q1II","Ord1",2,1,0.321326657247166
"B4Q1Q","Ord1",2,1,0.274740078024173
"numseries_incorrect","Cnt",2,1,0.273295139744225
"B4Q3G","Bin",2,1,0.261206969430416
"sgst_mixed_switch_incorrect","Cnt",2,1,0.202580673824434
"sgst_mixed_all_incorrect","Cnt",2,1,0.139891955740232
"sgst_mixed_nonswitch_incorrect","Cnt",2,1,0.133434988317389
"B4Q3Q","Bin",2,1,0.0853412880486165
"B4Q3M","Bin",2,1,0.0744740480091262
"B4Q1BB","Ord1",2,1,0.0176407269615952
"wl_immediate_omit","Cnt",2,1,0.00538925961742241
"wl_delayed_repetition","Cnt",2,1,0.00345725275327006
"wl_delayed_omit","Cnt",2,1,-0.0649469112182928
