"K","avg_silhouette","n_sil_negative","cum_eigval_ratio"
2,0.359874236872178,1,0.671242845797918
3,0.331645963974092,3,0.808007113976392
4,0.403548446283462,3,0.894441097196663
5,0.422711695639053,2,0.963083918452175
