"item","layer","cluster","neighbor","sil_width"
"B4Q3F","Bin",1,5,0.717229052989826
"B4Q3N","Bin",1,3,0.673861357690155
"B4Q1CCC","Ord1",1,5,0.655686234209665
"B4Q1FF","Ord1",1,5,0.655435687596514
"B4Q3L","Bin",1,5,0.641663299525314
"B4Q3H","Bin",1,5,0.590294806222836
"B4Q3C","Bin",1,5,0.576869727426316
"B4Q1Z","Ord1",1,5,0.574878780998077
"B4Q3R","Bin",1,5,0.573496080429188
"B4Q1N","Ord1",1,5,0.55079809255291
"B4Q1K","Ord1",1,5,0.523222165948677
"B4Q3P","Bin",1,5,0.498451589203161
"B4Q3J","Bin",1,3,0.4856435084832
"B4Q3D","Bin",1,3,0.481644849111538
"B4Q1D","Ord1",1,3,0.425166593386043
"B4Q3I","Bin",1,3,0.315616531709433
"B4Q3T","Bin",1,5,0.214801241049998
"B4Q1BBB","Ord1",2,3,0.614901418206595
"B4Q1S","Ord1",2,3,0.61046648336077
"B4Q1JJJ","Ord1",2,3,0.593714362221977
"B4Q1PP","Ord1",2,4,0.570352949814071
"B4BNE12","Con",2,3,0.568133809306636
"B4Q1H","Ord1",2,3,0.554114636192649
"B4Q3E","Bin",2,5,0.516564653861582
"B4Q1TT","Ord1",2,3,0.507994867838364
"B4Q3A","Bin",2,4,0.402251119866289
"B4Q1DD","Ord1",2,3,0.383243416219081
"B4Q1NN","Ord1",2,3,0.364301026914372
"wl_immediate_intrusion","Cnt",2,3,0.348558138968149
"B4Q3K","Bin",2,5,0.338859297170243
"B4Q1X","Ord1",2,3,0.293464049067859
"sgst_normal_incorrect","Cnt",2,3,0.233142006753702
"B4BCRP","Con",2,3,0.23278768009824
"B4Q1M","Ord1",2,3,0.21603036225663
"numseries_incorrect","Cnt",3,2,0.601044933783632
"B4Q1Q","Ord1",3,2,0.598514066218003
"B4Q1II","Ord1",3,2,0.531069052547307
"B4Q1T","Ord1",3,2,0.499207493304529
"B4Q1B","Ord1",3,1,0.498406122841056
"backcount_error","Cnt",3,1,0.306020744478033
"B4Q1GGG","Ord1",3,2,0.304082811978439
"wl_immediate_omit","Cnt",3,5,0.28729988959955
"B4Q1ZZ","Ord1",3,1,0.264842285010139
"wl_delayed_omit","Cnt",3,5,0.210129549312424
"B4Q1KK","Ord1",3,2,0.077769210216029
"B4Q3G","Bin",3,2,0.057237442557473
"sgst_mixed_switch_incorrect","Cnt",4,2,0.63468420758652
"sgst_mixed_all_incorrect","Cnt",4,2,0.51246019801474
"B4BFGN","Con",4,2,0.497009749081813
"sgst_mixed_nonswitch_incorrect","Cnt",4,2,0.496109087371206
"B4Q1BB","Ord1",4,3,0.407736093190738
"B4Q1RR","Ord1",4,2,0.335380855450212
"B4Q1F","Ord1",4,1,0.203131314905404
"B4BIL6","Con",4,2,0.191541106443395
"sgst_reverse_incorrect","Cnt",4,2,0.104765595954452
"B4Q3B","Bin",4,2,0.0503639191189224
"wl_immediate_repetition","Cnt",5,1,0.646108666580416
"catflu_repetition","Cnt",5,2,0.644774762536975
"B4Q1P","Ord1",5,1,0.601976684154414
"wl_delayed_intrusion","Cnt",5,3,0.521904820221682
"B4Q3O","Bin",5,3,0.451668877720869
"B4Q1VV","Ord1",5,1,0.404627020148047
"wl_delayed_repetition","Cnt",5,2,0.385306688427813
"B4Q3M","Bin",5,2,0.340740404543368
"B4BSCL14","Con",5,3,0.328272546581748
"B4Q3S","Bin",5,1,0.30668109283041
"catflu_intrusion","Cnt",5,1,-0.014787059584692
"B4Q3Q","Bin",5,2,-0.0453248063195606
